"Sample","Group","Core","range","Type","Easting","Northing","Depth_upper","Depth_lower","pH","EC","Microplastics_fragments","Microplastics_fibres","Microplastics_other","Al","As","Ba","Ca","Cd","Ce","Cr","Cu","Fe","Gd","K","La","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","S","Sr","Th","V","Y","Zn"
"02.1.1",2,2.1,"0-10","Soil",391352,6466375,0,10,6.83,164.4,"1749",NA,NA,2942,2.6,7.5,2038,0.02,4.4,8,NA,2196,0.28,101,1.4,171,29.5,0.15,141,1.02,0.79,154,7.2,226,11.6,1.09,4.9,0.84,17.2
"02.1.2",2,2.1,"Oct-20","Soil",391352,6466375,10,20,8.35,80.9,"0",NA,NA,2987,2.7,4.3,9753,0.04,2.9,11.9,6.8,3593,0.32,56,1.3,364,13.9,0.14,71,0.79,0.96,69,61.5,105,58.9,1.56,8.1,0.67,31.5
"02.1.3",2,2.1,"20-30","Soil",391352,6466375,20,30,9.07,49.4,NA,NA,NA,1205,0.6,1.9,1974,NA,1.4,2.2,NA,1349,NA,26,0.6,78,5,0.06,11,NA,NA,20,4.5,NA,9.8,1.24,3.7,0.19,5.5
"02.1.4",2,2.1,"30-40","Soil",391352,6466375,30,40,8.78,63,NA,NA,NA,2089,1.7,4.5,2935,0.01,1.7,5.9,NA,2793,0.27,51,1,129,11,0.15,34,0.66,0.6,50,12.9,63,15.1,1.25,6.8,0.38,14.2
"02.1.5",2,2.1,"40-50","Soil",391352,6466375,40,50,8.49,123.3,NA,NA,NA,4421,2,14.5,15261,0.06,3,8.2,12.7,3875,NA,76,1.7,588,15.3,0.19,127,0.6,1.08,90,27.1,130,93.1,2.8,10.1,0.56,38.9
"02.1.6",2,2.1,"50-60","Soil",391352,6466375,50,60,8.97,98.2,NA,NA,NA,2743,2.3,21,23962,0.15,1.8,7.9,42.3,4146,NA,74,1.5,926,19,0.18,146,NA,1.49,120,106.4,184,140.9,1.67,7.4,0.66,85.8
"02.2.1",2,2.2,"0-10","Soil",391367,6466285,0,10,8.28,205.6,"250",NA,NA,4800,2.4,5.2,10241,0.02,5.6,8.2,3.1,3453,0.3,102,1.9,325,23.6,0.19,114,1.34,1.05,142,18,139,57.2,2.22,9.4,0.95,13.9
"02.2.2",2,2.2,"Oct-20","Soil",391367,6466285,10,20,8.75,71.6,"500",NA,NA,4241,2.6,6.2,11793,0.03,5.4,7.4,4,3643,NA,61,2.4,356,29.7,0.16,87,1.54,0.9,146,16,137,69.5,3.14,10.3,0.8,15
"02.2.3",2,2.2,"20-30","Soil",391367,6466285,20,30,8.97,122.6,NA,NA,NA,8192,3.9,28.2,31042,0.12,4.4,10.7,15.1,7268,0.41,101,2.5,825,27.5,0.19,175,1.33,2.14,191,125.5,244,159.3,4.44,20.3,1.44,49.5
"02.2.4",2,2.2,"30-40","Soil",391367,6466285,30,40,9.3,92.8,NA,NA,NA,10353,4,11.3,21992,0.04,3.8,12.7,8.3,9574,0.52,106,2.2,594,30.8,0.25,149,1.38,2.03,151,37.5,192,108.9,5.33,30.4,1.16,25.8
"3.1",3,3.1,"0-10","Soil",391086,6466660,0,10,8.41,146.5,"3",2,1,2187,1.7,10.9,40298,0.05,3.3,8.4,NA,1559,0.32,179,2.3,1701,25.9,0.1,356,NA,0.9,243,9.3,404,287.8,0.8,3.9,1.94,15.5
"3.2",3,3.1,"Oct-20","Soil",391086,6466660,10,20,9.11,62.1,"2",0,0,2073,2,7.4,57265,0.02,1.4,7.7,NA,1650,NA,154,1.8,2365,14.4,0.06,455,NA,0.75,172,13.8,429,390.7,1.09,5.2,1.21,18.6
"3.3",3,3.2,"0-10","Soil",391080,6466662,0,10,8.11,100.5,"3",1,1,2880,2.5,12.3,7361,0.06,5.4,9.4,NA,2408,0.55,200,2.9,481,40.5,0.17,158,2.35,1.6,235,15.1,293,53,1.09,5.1,2.71,21.8
"3.4",3,3.2,"Oct-20","Soil",391080,6466662,10,20,8.93,114.6,"2",0,0,2180,1.9,6.5,35161,0.03,4.3,9.3,NA,1434,0.25,143,2.4,1297,14,0.07,311,1.22,0.66,118,8.4,280,262.7,1.21,3.8,1.42,5.2
"3.5",3,3.2,"20-30","Soil",391080,6466662,20,30,8.77,116.8,"0",0,0,5039,3.8,19.6,8356,0.08,5.2,9.9,10.3,4907,0.4,157,2.5,382,31.3,0.19,121,1.66,3.54,199,62.8,119,49.4,2.68,10.6,1.01,62.9
"3.6",3,3.2,"30-40","Soil",391080,6466662,30,40,8.81,135.1,"0",0,0,8197,4.4,34.7,12040,0.12,8.4,13,19.3,6163,0.45,407,4.6,545,29.6,0.15,244,2.92,2.92,178,60.1,150,65.3,3.38,15,1.8,89.2
"3.7",3,3.2,"40-50","Soil",391080,6466662,40,50,8.12,81.2,NA,NA,NA,4112,2.5,15.9,7622,0.05,4.2,7.5,8.6,5028,0.29,161,2.4,306,20.7,0.18,130,1.81,1.76,83,21.3,93,36.1,1.88,11.5,0.9,38.7
"3.8",3,3.2,"50-60","Soil",391080,6466662,50,60,9.02,100.5,NA,NA,NA,3258,2.1,26.8,17534,0.23,3.6,6,111.7,3838,0.31,163,2.4,420,24.3,0.12,140,1.12,2.4,99,567.5,232,55,1.62,8.6,1.04,221.5
"04.1.1",4,4.1,"0-10","Soil",391388,6466613,0,10,7.2,83,"0",2,0,2763,7.2,17.6,16228,0.21,2.6,11.7,35.7,3797,NA,96,1.7,611,17.9,0.17,149,0.93,2.34,351,43.1,249,81.7,1.72,8.7,1.11,124.5
"04.1.2",4,4.1,"Oct-20","Soil",391388,6466613,10,20,7.74,62.8,"2",0,0,2544,6.8,17.1,43157,0.24,2.1,24.5,30.9,3169,NA,91,1.7,1489,20.1,0.11,294,NA,2.63,175,58.1,409,268.4,1.44,7,1.27,456
"04.1.3",4,4.1,"20-30","Soil",391388,6466613,20,30,8.07,61.8,NA,NA,NA,3252,4.9,39,43813,0.43,2.7,12.6,148.7,5536,0.25,139,2.5,1537,42.9,0.43,342,0.45,5.79,250,193.8,486,269.5,1.98,10.1,1.55,278.1
