"Longitude","Latitude","Easting","Northing"
115.8475099,-31.92991272,391055.16,6466753.4
115.8474948,-31.93019622,391054.07,6466721.9
115.8475753,-31.93069923,391062.27,6466666.2
115.8477826,-31.93121256,391082.48,6466609.6
115.8477825,-31.93127095,391082.53,6466603.1
115.8488169,-31.9313056,391180.36,6466600.3
115.8488395,-31.93122752,391182.41,6466609
115.8493051,-31.93122129,391226.41,6466610.1
115.849298,-31.93144916,391226.01,6466584.8
115.8494732,-31.93145575,391242.58,6466584.3
115.8494888,-31.93186443,391244.54,6466539
115.8501979,-31.93186879,391311.58,6466539.2
115.8502048,-31.93257426,391313.06,6466461
115.8500043,-31.93257848,391294.11,6466460.4
115.850011,-31.93341236,391295.72,6466367.9
115.8501478,-31.93358733,391308.86,6466348.7
115.8504998,-31.93358638,391342.14,6466349.1
115.850503,-31.93420274,391343.16,6466280.8
115.8507112,-31.93430631,391362.97,6466269.5
115.8508651,-31.93443874,391377.67,6466255
115.8511193,-31.93453396,391401.81,6466244.7
115.8513904,-31.93453307,391427.44,6466245.1
115.8514597,-31.93445591,391433.9,6466253.7
115.8513027,-31.93309594,391417.46,6466404.3
115.8513073,-31.93197857,391416.58,6466528.2
115.851283,-31.93184908,391414.13,6466542.5
115.8512667,-31.93146706,391412.14,6466584.8
115.8514407,-31.93147412,391428.6,6466584.2
115.8514236,-31.93108036,391426.52,6466627.9
115.850827,-31.93106926,391370.11,6466628.5
115.8508561,-31.93054521,391372.24,6466686.6
115.8512665,-31.93054092,391411.03,6466687.5
115.8513019,-31.92993553,391413.67,6466754.6
115.8512272,-31.92985592,391406.51,6466763.4
115.8475788,-31.92986155,391061.62,6466759.1
115.8475099,-31.92991272,391055.16,6466753.4
